Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1765.075860299842
FDW14,OUT017,1261.9180810917956
NCN55,OUT010,587.2453640133343
FDQ58,OUT017,2290.096264458471
FDY38,OUT027,6207.506479927629
FDH56,OUT046,1842.1453041659531
FDL48,OUT018,568.4512358455065
FDC48,OUT027,2090.1567573098273
FDN33,OUT045,1408.272402520912
FDA36,OUT017,2697.3928178886927
FDT44,OUT017,1879.4527730008747
FDQ56,OUT045,1788.7957139156085
NCC54,OUT019,529.7958607882704
FDU11,OUT049,2072.204818582579
DRL59,OUT013,852.561430666403
FDM24,OUT049,2458.34865310352
FDI57,OUT045,3050.2992632795213
DRC12,OUT018,2915.927085160471
NCM42,OUT027,2628.8392800363413
FDA46,OUT010,464.20034253974836
FDA31,OUT013,2885.812012120796
NCJ31,OUT035,3320.3612029799374
FDG52,OUT046,726.7993810650836
NCL19,OUT019,348.635483621659
FDS10,OUT035,2977.4093864168844
FDX22,OUT010,510.34281310777504
NCF19,OUT035,699.3388241324595
NCE06,OUT046,2231.2536031075047
DRC27,OUT046,3850.4729309002037
FDE21,OUT035,1919.415734903714
NCR42,OUT019,62.80900518743698
FDX51,OUT018,2692.6407870819307
NCR06,OUT018,446.6190431288492
FDU31,OUT027,6035.109931487974
FDU59,OUT017,2095.436579370535
FDR03,OUT027,6351.174216497112
FDS49,OUT027,2231.7139673044567
FDD48,OUT010,290.39478859135653
NCF18,OUT017,3655.778619805257
NCD43,OUT027,2504.037335511268
NCD54,OUT018,1812.809366544577
FDY19,OUT010,260.3605251140405
NCY54,OUT017,2650.571493485112
NCL19,OUT018,2060.594926405501
FDP23,OUT010,408.2270032352356
FDC26,OUT013,1525.0085036905675
FDR14,OUT010,162.69460307212114
NCS41,OUT035,3210.972552736268
FDF41,OUT035,3578.7275890779733
FDU34,OUT046,2366.673193984955
DRH11,OUT046,884.2806104886996
FDM03,OUT013,1732.4387958604093
FDS31,OUT017,2903.6445547050453
FDJ20,OUT017,1721.0540371606078
FDV44,OUT027,4733.093838899438
FDG02,OUT049,3020.531758214955
FDA09,OUT013,2938.7981243386284
FDT04,OUT013,572.3585055376078
FDE52,OUT045,1281.5347544354088
FDW12,OUT035,2754.60955675418
FDL51,OUT017,3557.428431663714
NCY42,OUT027,3288.9807907410195
FDR07,OUT017,1585.387873723311
FDN40,OUT045,2320.9787471163627
